Display,statement_set,statement,statement_id,repetitions
Display 1,1,"A hand, used to measure a horse's height, is four inches high",1,1
Display 1,1,There are around 1500 active volcanoes in the world,2,1
Display 1,1,The present city of Atlanta was originally named Terminus,3,1
Display 1,1,Cleo was the name of the goldfish in Pinnochio,4,1
Display 1,1,A Bandar is another name for the Rhesus monkey,5,1
Display 1,1,The Mayflower carried 102 pilgrims on its historic 1620 voyage,6,1
Display 1,1,"The Karakum Desert's name means ""black sand"" in Turkic languages",7,1
Display 1,1,The zipper was invented by Elias Howe in 1851,8,1
Display 1,2,The White House stands on 18 acres of land,9,9
Display 1,2,The White House stands on 18 acres of land,9,9
Display 1,2,The White House stands on 18 acres of land,9,9
Display 1,2,The White House stands on 18 acres of land,9,9
Display 1,2,The White House stands on 18 acres of land,9,9
Display 1,2,The White House stands on 18 acres of land,9,9
Display 1,2,The White House stands on 18 acres of land,9,9
Display 1,2,The White House stands on 18 acres of land,9,9
Display 1,2,The White House stands on 18 acres of land,9,9
Display 1,2,The average longevity of a kangaroo is seven years,10,9
Display 1,2,The average longevity of a kangaroo is seven years,10,9
Display 1,2,The average longevity of a kangaroo is seven years,10,9
Display 1,2,The average longevity of a kangaroo is seven years,10,9
Display 1,2,The average longevity of a kangaroo is seven years,10,9
Display 1,2,The average longevity of a kangaroo is seven years,10,9
Display 1,2,The average longevity of a kangaroo is seven years,10,9
Display 1,2,The average longevity of a kangaroo is seven years,10,9
Display 1,2,The average longevity of a kangaroo is seven years,10,9
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,9
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,9
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,9
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,9
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,9
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,9
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,9
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,9
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,9
Display 1,2,China has the greatest number of people over the age of 80,12,9
Display 1,2,China has the greatest number of people over the age of 80,12,9
Display 1,2,China has the greatest number of people over the age of 80,12,9
Display 1,2,China has the greatest number of people over the age of 80,12,9
Display 1,2,China has the greatest number of people over the age of 80,12,9
Display 1,2,China has the greatest number of people over the age of 80,12,9
Display 1,2,China has the greatest number of people over the age of 80,12,9
Display 1,2,China has the greatest number of people over the age of 80,12,9
Display 1,2,China has the greatest number of people over the age of 80,12,9
Display 1,2,The typewriter was first invented by Christopher Sholes,13,9
Display 1,2,The typewriter was first invented by Christopher Sholes,13,9
Display 1,2,The typewriter was first invented by Christopher Sholes,13,9
Display 1,2,The typewriter was first invented by Christopher Sholes,13,9
Display 1,2,The typewriter was first invented by Christopher Sholes,13,9
Display 1,2,The typewriter was first invented by Christopher Sholes,13,9
Display 1,2,The typewriter was first invented by Christopher Sholes,13,9
Display 1,2,The typewriter was first invented by Christopher Sholes,13,9
Display 1,2,The typewriter was first invented by Christopher Sholes,13,9
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,9
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,9
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,9
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,9
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,9
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,9
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,9
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,9
Display 1,2,The first cat show was in Great Britain's Crystal Palace in 1871,14,9
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,9
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,9
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,9
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,9
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,9
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,9
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,9
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,9
Display 1,2,There are currently 5 known 'dwarf planets' in our solar system,15,9
Display 1,2,Braille is based on a code of sixty-three characters,16,9
Display 1,2,Braille is based on a code of sixty-three characters,16,9
Display 1,2,Braille is based on a code of sixty-three characters,16,9
Display 1,2,Braille is based on a code of sixty-three characters,16,9
