Display,statement_set,statement,statement_id,repetitions
Display 1,1,The Mayflower carried 102 pilgrims on its historic 1620 voyage,6,18
Display 1,1,The Mayflower carried 102 pilgrims on its historic 1620 voyage,6,18
Display 1,1,The Mayflower carried 102 pilgrims on its historic 1620 voyage,6,18
Display 1,1,The Mayflower carried 102 pilgrims on its historic 1620 voyage,6,18
Display 1,1,The Mayflower carried 102 pilgrims on its historic 1620 voyage,6,18
Display 1,1,The Mayflower carried 102 pilgrims on its historic 1620 voyage,6,18
Display 1,1,The Mayflower carried 102 pilgrims on its historic 1620 voyage,6,18
Display 1,1,"The Karakum Desert's name means ""black sand"" in Turkic languages",7,18
Display 1,1,"The Karakum Desert's name means ""black sand"" in Turkic languages",7,18
Display 1,1,"The Karakum Desert's name means ""black sand"" in Turkic languages",7,18
Display 1,1,"The Karakum Desert's name means ""black sand"" in Turkic languages",7,18
Display 1,1,"The Karakum Desert's name means ""black sand"" in Turkic languages",7,18
Display 1,1,"The Karakum Desert's name means ""black sand"" in Turkic languages",7,18
Display 1,1,"The Karakum Desert's name means ""black sand"" in Turkic languages",7,18
Display 1,1,"The Karakum Desert's name means ""black sand"" in Turkic languages",7,18
Display 1,1,"The Karakum Desert's name means ""black sand"" in Turkic languages",7,18
Display 1,1,"The Karakum Desert's name means ""black sand"" in Turkic languages",7,18
Display 1,1,"The Karakum Desert's name means ""black sand"" in Turkic languages",7,18
Display 1,1,"The Karakum Desert's name means ""black sand"" in Turkic languages",7,18
Display 1,1,"The Karakum Desert's name means ""black sand"" in Turkic languages",7,18
Display 1,1,"The Karakum Desert's name means ""black sand"" in Turkic languages",7,18
Display 1,1,"The Karakum Desert's name means ""black sand"" in Turkic languages",7,18
Display 1,1,"The Karakum Desert's name means ""black sand"" in Turkic languages",7,18
Display 1,1,"The Karakum Desert's name means ""black sand"" in Turkic languages",7,18
Display 1,1,"The Karakum Desert's name means ""black sand"" in Turkic languages",7,18
Display 1,1,The zipper was invented by Elias Howe in 1851,8,18
Display 1,1,The zipper was invented by Elias Howe in 1851,8,18
Display 1,1,The zipper was invented by Elias Howe in 1851,8,18
Display 1,1,The zipper was invented by Elias Howe in 1851,8,18
Display 1,1,The zipper was invented by Elias Howe in 1851,8,18
Display 1,1,The zipper was invented by Elias Howe in 1851,8,18
Display 1,1,The zipper was invented by Elias Howe in 1851,8,18
Display 1,1,The zipper was invented by Elias Howe in 1851,8,18
Display 1,1,The zipper was invented by Elias Howe in 1851,8,18
Display 1,1,The zipper was invented by Elias Howe in 1851,8,18
Display 1,1,The zipper was invented by Elias Howe in 1851,8,18
Display 1,1,The zipper was invented by Elias Howe in 1851,8,18
Display 1,1,The zipper was invented by Elias Howe in 1851,8,18
Display 1,1,The zipper was invented by Elias Howe in 1851,8,18
Display 1,1,The zipper was invented by Elias Howe in 1851,8,18
Display 1,1,The zipper was invented by Elias Howe in 1851,8,18
Display 1,1,The zipper was invented by Elias Howe in 1851,8,18
Display 1,1,The zipper was invented by Elias Howe in 1851,8,18
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The White House stands on 18 acres of land,9,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,The average longevity of a kangaroo is seven years,10,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,Margaret Gorman won the first Miss America Pageant,11,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,China has the greatest number of people over the age of 80,12,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
Display 1,2,The typewriter was first invented by Christopher Sholes,13,27
